,name,username,license,tags,freesound_id,path
47,AI_Hi-Hat Closed 4.wav,AlexIero_1,http://creativecommons.org/publicdomain/zero/1.0/,"['Drums', 'EDM', 'Electronic', 'Hi-Hat', 'House']",387188,files/387188_7255534-hq.ogg
48,HI-HAT_closed_PO-12.aif,jannevse,http://creativecommons.org/publicdomain/zero/1.0/,"['closed', 'cymbal', 'drum', 'electro', 'electronic', 'hi-hat', 'hip-hop', 'music', 'po-12', 'sample', 'techno']",669733,files/669733_5819399-hq.ogg
49,HHbright.aif,aron1,http://creativecommons.org/licenses/sampling+/1.0/,"['closed-hi-hat', 'electronic', 'fm', 'hi-hat', 'synthetic']",29568,files/29568_227342-hq.ogg
50,HH Pd 03.wav,pomeroyjoshua,http://creativecommons.org/publicdomain/zero/1.0/,"['electronic', 'hats', 'pedel']",513398,files/513398_938351-hq.ogg
51,hh_short.wav,synxwtf,http://creativecommons.org/publicdomain/zero/1.0/,"['electronic', 'hat', 'hh', 'hi-hat', 'hihat']",612218,files/612218_13576318-hq.ogg
52,TR-808 - Hi Hat (open),iainmccurdy,https://creativecommons.org/licenses/by-nc/4.0/,"['Roland', 'TR-808', 'analog', 'drum-machine', 'electro', 'electronic', 'hi-hat-open', 'soundesign', 'synth', 'synthesizer']",640033,files/640033_3655844-hq.ogg
53,8-bit Soft Hi-Hat,JapanYoshiTheGamer,http://creativecommons.org/publicdomain/zero/1.0/,"['8-bit', '8bit', 'arcade', 'bleep', 'chip', 'chippy', 'chiptune', 'digital', 'drum', 'drums', 'effect', 'electronic', 'famicom', 'fx', 'game', 'hat', 'hihat', 'impact', 'lo-fi', 'nes', 'noise', 'percussion', 'retro', 'sound', 'sound-effect', 'soundeffect', 'synth', 'vgm', 'video-game', 'videogame']",361267,files/361267_2901280-hq.ogg
54,mechhat1.wav,blaster78,http://creativecommons.org/licenses/sampling+/1.0/,"['drum', 'electronic', 'processed']",14517,files/14517_12142-hq.ogg
55,Electronic Kick Drum #3,IanStarGem,http://creativecommons.org/publicdomain/zero/1.0/,"['3', 'Analog', 'Bass', 'Clap', 'Closed', 'Dance', 'Digital', 'Drum', 'Drums', 'Drumstep', 'Dubstep', 'EDM', 'Electro', 'Electronic', 'Hi-Hats', 'House', 'Kick', 'Music', 'Open', 'Ride', 'Sample', 'Snare', 'Stab', 'Synthesizer']",271079,files/271079_4965320-hq.ogg
56,[Drums] rap clap (funk thing),waveplaySFX,http://creativecommons.org/publicdomain/zero/1.0/,"['acid', 'ambient', 'clap', 'club', 'custom', 'dance', 'delay', 'drop', 'dub', 'dub-step', 'dubstep', 'echo', 'effect', 'electro', 'electronic', 'fx', 'glitch-hop', 'house', 'minimal', 'noise', 'pan', 'panning', 'rave', 'record', 'reverb', 'snare', 'sound', 'stereo', 'techno', 'trance']",223834,files/223834_1676145-hq.ogg
57,8-bit Soft Clap or Snare,JapanYoshiTheGamer,http://creativecommons.org/publicdomain/zero/1.0/,"['8-bit', '8bit', 'arcade', 'chip', 'chippy', 'chiptune', 'clap', 'digital', 'drum', 'drums', 'effect', 'electronic', 'famicom', 'fx', 'game', 'impact', 'lo-fi', 'nes', 'noise', 'percussion', 'retro', 'snare', 'sound', 'sound-effect', 'soundeffect', 'synth', 'vgm', 'video-game', 'videogame']",361262,files/361262_2901280-hq.ogg
58,clap02.wav,esformouse,http://creativecommons.org/licenses/sampling+/1.0/,"['clap', 'distortion', 'drum', 'electronic', 'percussion', 'snare']",56808,files/56808_231832-hq.ogg
59,BleepdrumBD_02,oceansonmars,http://creativecommons.org/publicdomain/zero/1.0/,"['Analog', 'Bleep', 'Circuit-Bend', 'Clap', 'Drum', 'Drums', 'Electronic', 'Hi-Hats', 'Kick', 'Lo-Fi', 'Snare']",827848,files/827848_15225418-hq.ogg
60,Dirty electro bass.wav,staticpony1,http://creativecommons.org/publicdomain/zero/1.0/,"['4x4-Records', 'Bass', 'Beat', 'Clap', 'Closed', 'Dance', 'Drum', 'Drums', 'EDM', 'Electric-Dance-Music', 'Electro', 'Electronic', 'Hi-Hats', 'House', 'J', 'Kick', 'Lee', 'Loop', 'Off-Shot-Records', 'Open', 'Snare', 'Stab']",249592,files/249592_4508519-hq.ogg
61,Trap Snare 2,muffin3k,http://creativecommons.org/publicdomain/zero/1.0/,"['drum', 'drums', 'hiphop', 'rap', 'sample', 'snare', 'trap']",517297,files/517297_10137963-hq.ogg
62,Attack Zound-155.wav,Jovica,https://creativecommons.org/licenses/by/4.0/,"['electronic', 'soundeffect']",5567,files/5567_2518-hq.ogg
