,name,username,license,tags,freesound_id,path
28,Usyd Piano Chords 34.wav,MGFaudio,http://creativecommons.org/publicdomain/zero/1.0/,"['chords', 'keys', 'piano']",634419,files/634419_4942436-hq.ogg
29,Piano.ff.F6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Keyboard', 'Keys', 'Piano']",409493,files/409493_7952991-hq.ogg
30,Piano.ff.B6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Keyboard', 'Keys', 'Piano']",409510,files/409510_7952991-hq.ogg
31,Piano.ff.A6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Keyboard', 'Keys', 'Piano']",409507,files/409507_7952991-hq.ogg
32,Piano.ff.G6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Keyboard', 'Keys', 'piano']",409494,files/409494_7952991-hq.ogg
33,Piano.ff.F6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Piano', 'keyboard', 'keys']",409480,files/409480_7952991-hq.ogg
34,Piano.ff.C7-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['Keyboard', 'Keys', 'Piano']",409512,files/409512_7952991-hq.ogg
35,Piano.mf.C6-[AudioTrimmer.com].mp3,dwengomes,http://creativecommons.org/publicdomain/zero/1.0/,"['keyboard', 'keys', 'piano']",409435,files/409435_7952991-hq.ogg
36,Pedal 03-16bit.wav,149203,http://creativecommons.org/publicdomain/zero/1.0/,"['ambience', 'background', 'bench', 'creaks', 'hammer', 'keys', 'noise', 'pedal', 'pedal-press', 'piano', 'piano-bench', 'stereo']",127792,files/127792_1645805-hq.ogg
37,"Oddball Piano 002 Project (13,16 Time 170 BPM).wav",Hewn.Marrow,https://creativecommons.org/licenses/by/4.0/,"['Angular', 'Angular-Rhythm', 'Angular-Rhythms', 'Keys', 'Keys-Loop', 'Math-Rock-Piano', 'Odd-Time', 'Odd-Time-Signature', 'Off-Kilter', 'Piano', 'Piano-Loop']",630260,files/630260_12333864-hq.ogg
38,"Piano, C# -2, Muffled, Single Note",VizAion,http://creativecommons.org/publicdomain/zero/1.0/,"['Ab-note', 'Audio-Sample', 'Deep-sound', 'Keys', 'Musical', 'Piano', 'Resonance', 'Sample', 'Single-note', 'bassy', 'muffled', 'sampler', 'strings']",795601,files/795601_17061405-hq.ogg
39,Piano hit 2.wav,tur.kis,http://creativecommons.org/publicdomain/zero/1.0/,"['hammer', 'hit', 'keys', 'piano']",680320,files/680320_10399452-hq.ogg
40,piano_string_hit_short 5,Daphne_in_Wonderland,http://creativecommons.org/publicdomain/zero/1.0/,"['chord', 'hammer', 'hand-inside', 'harp', 'hit', 'keys', 'magic', 'muted', 'natural-reverb', 'note', 'piano', 'sound', 'spooky', 'string', 'sustain', 'tension']",148772,files/148772_667113-hq.ogg
41,Digital Mystery,4verage,http://creativecommons.org/publicdomain/zero/1.0/,"['digital', 'filter', 'keys', 'piano']",713054,files/713054_15473458-hq.ogg
42,BbStringHiG.wav,jdstarrett,https://creativecommons.org/licenses/by/4.0/,['contrabass'],22554,files/22554_129507-hq.ogg
