,freesound_id,id,path,start_sample,end_sample,loudness,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
0,132584,132584_f0,files/132584_2409787-hq.ogg,0,8192,0.016300756484270096,-1144.3163,162.57022,140.59113,109.819305,77.023384,48.43705,28.031143,16.743053,12.827419,13.055492,14.188225,14.120167,12.311432
1,132584,132584_f1,files/132584_2409787-hq.ogg,8192,16384,0.0017506255535408854,-1229.1189,50.385822,49.6943,48.56241,47.019936,45.107597,42.874077,40.375652,37.672882,34.829105,31.907753,28.970448,26.074848
2,132584,132584_f2,files/132584_2409787-hq.ogg,16384,24576,3.692384052556008e-05,-1249.1178,22.292068,22.16119,21.944672,21.64434,21.263557,20.805664,20.275433,19.677914,19.018871,18.304573,17.541729,16.73742
3,673512,673512_f0,files/673512_3130497-hq.ogg,0,8192,0.013325287960469723,-1120.3147,186.08597,139.70428,85.86011,43.72245,21.222084,14.597702,15.201031,16.477917,16.258755,14.979012,13.366108,11.740959
4,673512,673512_f1,files/673512_3130497-hq.ogg,8192,16384,0.0034656403586268425,-1230.3378,48.66872,47.998318,46.90547,45.42533,43.605324,41.501793,39.178524,36.703033,34.143925,31.567818,29.036732,26.60561
5,673512,673512_f2,files/673512_3130497-hq.ogg,16384,24576,0.0006330891628749669,-1240.3676,34.634693,34.407955,34.034256,33.51934,32.87159,32.100723,31.218655,30.238403,29.174023,28.040207,26.851978,25.624195
6,673512,673512_f3,files/673512_3130497-hq.ogg,24576,32768,0.00011606785119511187,-1246.6497,25.793476,25.695095,25.532013,25.305138,25.01635,24.667297,24.260616,23.79895,23.285381,22.723244,22.116169,21.467957
7,673512,673512_f4,files/673512_3130497-hq.ogg,32768,40960,2.1859847038285807e-05,-1251.5591,18.868729,18.825035,18.752441,18.650784,18.520523,18.361496,18.174282,17.959026,17.716122,17.445854,17.148716,16.825104
8,673512,673512_f5,files/673512_3130497-hq.ogg,40960,49152,4.129137778363656e-06,-1255.012,13.989395,13.956963,13.903168,13.8277855,13.731232,13.613312,13.4744835,13.314922,13.134823,12.934456,12.714153,12.474213
9,673512,673512_f6,files/673512_3130497-hq.ogg,49152,57344,7.815276603651e-07,-1258.4633,9.112259,9.091087,9.056091,9.006939,8.944099,8.867249,8.776817,8.672878,8.555584,8.425072,8.281574,8.125275
10,647617,647617_f0,files/647617_24119-hq.ogg,0,8192,0.0012189922854304314,-1156.6096,129.35562,78.11684,34.66931,14.1746025,13.916321,28.00386,42.97169,39.571396,16.857784,-2.296196,-2.354435,6.4612045
11,400707,400707_f0,files/400707_1126957-hq.ogg,0,8192,0.016418278217315674,-1089.0579,216.86404,144.22577,77.61038,46.22686,43.208473,43.96871,34.873074,21.192455,13.101978,12.021477,11.981838,8.981964
12,400707,400707_f1,files/400707_1126957-hq.ogg,8192,16384,0.00024610344553366303,-1238.8518,36.687733,36.192226,35.37773,34.260796,32.86422,31.215698,29.348034,27.297318,25.102497,22.80407,20.443142,18.060303
13,400707,400707_f2,files/400707_1126957-hq.ogg,16384,24576,0.0,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05
14,581461,581461_f0,files/581461_5790048-hq.ogg,0,8192,0.0025430279783904552,-960.7941,211.37125,22.227032,60.19775,26.436226,12.132393,25.680481,11.854244,8.512203,-1.3437042,0.885746,1.2327423,-6.5090256
15,581461,581461_f1,files/581461_5790048-hq.ogg,8192,16384,3.3853400964289904e-05,-1189.5739,101.17566,86.26686,65.0394,41.776573,20.605965,4.4436646,-5.5615616,-9.964424,-10.446007,-9.00766,-7.2585564,-6.033371
16,581461,581461_f2,files/581461_5790048-hq.ogg,16384,24576,2.08591536647873e-05,-1212.8229,71.39278,64.894,55.05974,43.190025,30.760185,19.16597,9.504833,2.4309654,-1.8896561,-3.7270584,-3.6588783,-2.4039116
17,581461,581461_f3,files/581461_5790048-hq.ogg,24576,32768,2.9528694085456664e-06,-1245.2134,27.502522,26.462093,24.8078,22.651604,20.136826,17.424454,14.680904,12.063366,9.707806,7.7190475,6.164257,5.0699997
18,25634,25634_f0,files/25634_48671-hq.ogg,0,8192,0.023679465055465698,-642.21814,89.829285,30.366325,75.58772,14.800919,48.945557,20.187532,35.363373,15.321938,19.929972,4.9117584,6.3225956,-4.0723553
19,465547,465547_f0,files/465547_5137552-hq.ogg,0,8192,0.002226968528702855,-956.4196,181.32736,37.23292,68.36226,18.037437,34.48527,19.806187,16.513432,19.316368,13.90789,13.036751,15.071606,7.866062
20,465547,465547_f1,files/465547_5137552-hq.ogg,8192,16384,0.00014431031013373286,-1222.5588,59.29439,57.51588,54.636948,50.779854,46.107002,40.81054,35.10333,29.20671,23.339344,17.706108,12.488331,7.8355865
21,465547,465547_f2,files/465547_5137552-hq.ogg,16384,24576,4.098866156709846e-06,-1244.5497,28.638996,28.171597,27.405685,26.360283,25.061577,23.541138,21.83604,19.986736,18.036327,16.028923,14.008503,12.01741
22,465547,465547_f3,files/465547_5137552-hq.ogg,24576,32768,3.4297477213840466e-07,-1260.7715,5.85054,5.836937,5.8144836,5.782879,5.742607,5.693222,5.6351547,5.5684166,5.4931145,5.4093246,5.317196,5.216835
23,465547,465547_f4,files/465547_5137552-hq.ogg,32768,40960,2.9200652562622054e-08,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05
24,465547,465547_f5,files/465547_5137552-hq.ogg,40960,49152,2.1916113368547485e-08,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05
25,465547,465547_f6,files/465547_5137552-hq.ogg,49152,57344,2.1327593913156306e-08,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05
26,465547,465547_f7,files/465547_5137552-hq.ogg,57344,65536,2.2304353919366804e-08,-1264.9116,3.0517578e-05,-6.866455e-05,3.0517578e-05,-8.010864e-05,6.866455e-05,-3.0517578e-05,-6.866455e-05,-4.9591064e-05,-1.9073486e-05,-2.2888184e-05,-1.9073486e-05,-4.196167e-05
27,431636,431636_f0,files/431636_1954411-hq.ogg,0,8192,0.015086802653968334,-788.37317,79.50601,29.951775,85.41922,47.527912,50.160374,34.811695,23.926113,16.260227,15.622337,11.580135,9.109495,5.9163074
28,431636,431636_f1,files/431636_1954411-hq.ogg,8192,16384,0.000628691806923598,-1093.0682,94.291916,24.59016,73.45622,44.486412,46.92105,38.451553,30.095123,22.966568,22.838696,19.865425,9.798565,8.325691
29,431636,431636_f2,files/431636_1954411-hq.ogg,16384,24576,4.007635288871825e-05,-1218.8625,62.84032,57.20625,50.35417,44.223213,40.02009,36.879982,33.226894,28.215607,21.571774,14.423874,8.321838,3.687336
30,431636,431636_f3,files/431636_1954411-hq.ogg,24576,32768,1.6208967281272635e-05,-1203.5142,81.23932,68.061905,54.05974,42.330956,31.162453,18.985931,7.903801,1.150814,-1.2273026,-2.1323395,-3.3420296,-3.8012466
31,599886,599886_f0,files/599886_2871314-hq.ogg,0,8192,0.02703811228275299,-665.918,192.44727,60.962887,41.83744,21.22287,17.306538,2.916668,4.2798615,-2.9621887,5.5724564,4.9834175,7.7941895,2.6885452
32,599886,599886_f1,files/599886_2871314-hq.ogg,8192,16384,0.02395542338490486,-756.9218,211.09164,50.71697,64.607834,39.98746,26.666708,2.866394,-1.4942741,-3.8471527,6.245245,7.1131554,10.370392,5.6787224
33,599886,599886_f2,files/599886_2871314-hq.ogg,16384,24576,0.02004135027527809,-915.1016,149.9076,36.971737,64.01962,73.85575,64.755104,40.833305,21.26749,1.8970222,7.3572655,13.609211,11.819893,12.515198
34,599886,599886_f3,files/599886_2871314-hq.ogg,24576,32768,0.01592853292822838,-1048.8818,184.82083,88.81123,74.92691,60.00996,41.264156,19.168972,10.08194,10.390533,18.060339,21.93612,21.508968,14.19305
35,599886,599886_f4,files/599886_2871314-hq.ogg,32768,40960,0.011211534962058067,-1064.3401,229.50009,120.26636,46.336166,31.014229,33.254875,23.427795,10.009228,5.1717796,5.187313,5.509033,9.269978,16.738304
36,599886,599886_f5,files/599886_2871314-hq.ogg,40960,49152,0.009747615084052086,-1061.0106,233.30124,121.26526,44.172333,28.343208,32.694893,24.355728,10.698528,5.4944725,4.9250755,2.926918,3.5468636,10.141083
37,599886,599886_f6,files/599886_2871314-hq.ogg,49152,57344,0.009258849546313286,-1062.5972,232.63602,122.61127,44.70433,27.057487,31.784554,25.101562,11.828365,6.048519,5.293453,2.7320251,1.6867561,7.342331
38,564190,564190_f0,files/564190_7724104-hq.ogg,0,8192,0.03896869719028473,-798.2668,290.04965,52.795353,47.550728,16.831795,19.902729,10.81163,11.242804,7.2892723,9.379305,5.11438,4.1974907,4.079056
39,564190,564190_f1,files/564190_7724104-hq.ogg,8192,16384,0.009411387145519257,-1147.9077,155.13797,127.89099,93.0782,61.117012,38.915413,27.700104,24.063107,23.066467,21.254421,17.89225,14.192745,11.596451
40,564190,564190_f2,files/564190_7724104-hq.ogg,16384,24576,0.0017142340075224638,-1186.2673,107.38739,96.68024,81.23724,63.930153,47.583687,34.28524,25.00111,19.574093,17.046658,16.14257,15.71764,15.038597
41,564190,564190_f3,files/564190_7724104-hq.ogg,24576,32768,0.00032105340505950153,-1213.8763,70.99336,67.56496,62.221714,55.46357,47.890144,40.119896,32.715267,26.120667,20.62524,16.351936,13.272121,11.238785
42,564190,564190_f4,files/564190_7724104-hq.ogg,32768,40960,6.059437509975396e-05,-1232.4241,45.554157,44.406033,42.564774,40.13189,37.237526,34.02871,30.658337,27.27243,23.99989,20.94387,18.176357,15.7359085
43,564190,564190_f5,files/564190_7724104-hq.ogg,40960,49152,1.1244073903071694e-05,-1245.2466,27.721455,27.455532,27.016434,26.41018,25.645317,24.732056,23.68301,22.512207,21.235165,19.868538,18.429897,16.937286
44,564190,564190_f6,files/564190_7724104-hq.ogg,49152,57344,2.094600858981721e-06,-1252.3998,17.649857,17.516655,17.296478,16.991512,16.605438,16.142166,15.607113,15.006054,14.345547,13.632698,12.875187,12.081009
45,58481,58481_f0,files/58481_723873-hq.ogg,0,8192,0.0041268994100391865,-1010.65356,217.87134,35.91943,29.428177,51.605553,31.760078,30.09761,28.63641,17.279064,13.546024,9.526924,5.724842,3.1934319
